Date,Open,High,Low,Close,Volume,EF_1,EF_2,Oil FutureTrend,Gold FutureTrend,Trend,Twitter Sentiments,FutureTrend
17/10/2018,29.95000076,30.13999939,28.95999908,29.54999924,19379400,0.5,-1.335564326,Positive,Negative,Negative,0,Positive
18/10/2018,29.39999962,30.23999977,28.97999954,29.29000092,24174300,0.246032791,-0.374145253,Negative,Positive,Negative,0,Positive
19/10/2018,29.32999992,29.79000092,28.68000031,28.82999992,20112900,0.135134717,-1.704739179,Negative,Positive,Negative,0,Negative
22/10/2018,29.04999924,29.28000069,28.30999947,29.18000031,21719400,0.896906953,0.447507991,Positive,Negative,Positive,22,Positive
23/10/2018,28.47999954,29.02000046,28.06999969,28.77000046,26503600,0.736842317,1.018261658,Negative,Positive,Positive,62,Positive
24/10/2018,28.85000038,29.77000046,27.30999947,27.54000092,37910200,0.093496487,-4.540725992,Negative,Negative,Negative,0,Negative
25/10/2018,31.31999969,33.66999817,30.76000023,31.79999924,79251000,0.357388228,1.532565603,Negative,Negative,Positive,31,Negative
26/10/2018,31.20000076,33.13999939,30.94000053,32.36000061,47747000,0.645454916,3.717948138,Positive,Positive,Positive,0,Negative
29/10/2018,32.45999908,33.75,31.62000084,32.38999939,40899900,0.361501809,-0.215649097,Positive,Positive,Negative,67,Negative
30/10/2018,31.77000046,34.54999924,31.29999924,33.86000061,43678200,0.78769273,6.578533593,Positive,Positive,Positive,27,Negative
31/10/2018,34.36999893,35.63999939,34.34999847,34.75,33063700,0.310078482,1.105618504,Positive,Negative,Positive,0,Positive
01/11/2018,34.59999847,34.90999985,33.81999969,34.61999893,27498000,0.733944151,0.057804794,Positive,Positive,Positive,0,Positive
02/11/2018,34.86999893,35.34999847,33.84999847,34.29999924,23994800,0.300000509,-1.634642134,Positive,Positive,Negative,25,Positive
05/11/2018,34.25999832,34.27999878,33.36999893,34.02000046,18214300,0.714287511,-0.700519193,Positive,Positive,Negative,84,Negative
06/11/2018,33.95999908,34.81000137,33.84000015,34.41999817,15508300,0.597935347,1.354532087,Positive,Negative,Positive,27,Negative
07/11/2018,34.75,35.11999893,34.38000107,34.99000168,16802100,0.824327529,0.690652312,Positive,Positive,Positive,53,Positive
08/11/2018,34.88000107,34.99000168,33.86999893,34.18000031,15146400,0.276786262,-2.00688286,Positive,Positive,Negative,15,Positive
09/11/2018,33.75,34.41999817,33.38999939,34.08000183,16034700,0.669906077,0.977783203,Positive,Positive,Positive,0,Positive
12/11/2018,34,34.09999847,31.78000069,32.00999832,18147500,0.099137006,-5.852946113,Positive,Positive,Negative,67,Negative
13/11/2018,32.24000168,32.84999847,31.46999931,32.49000168,17206300,0.739132598,0.775434203,Negative,Negative,Positive,17,Negative
